index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,3,8,,,3,3,
3,2,,9,,3,,3,
4,,5,10,,,3,3,
5,4,6,11,,3,3,3,
6,5,,,,3,,,
7,,8,,1,,3,,3
8,7,,,2,3,,,3
9,,10,15,3,,3,3,3
10,9,,,4,3,,,3
11,,,17,5,,,3,3
12,,,18,,,,3,
13,,14,19,,,3,3,
14,13,15,20,,3,3,3,
15,14,,,9,3,,,3
16,,17,22,,,3,3,
17,16,18,,11,3,3,,3
18,17,,24,12,3,,3,3
19,,,,13,,,,3
20,,21,26,14,,4,3,3
21,20,,,,4,,,
22,,,28,16,,,3,3
23,,24,,,,4,,
24,23,,30,18,4,,3,3
25,,26,,,,3,,
26,25,27,32,20,3,3,3,3
27,26,28,33,,3,3,3,
28,27,29,,22,3,3,,3
29,28,30,35,,3,3,3,
30,29,,36,24,3,,3,3
31,,32,37,,,3,3,
32,31,33,38,26,3,3,3,3
33,32,,,27,3,,,3
34,,,40,,,,3,
35,,,,29,,,,3
36,,,42,30,,,3,3
37,,,,31,,,,3
38,,,44,32,,,3,3
39,,40,45,,,3,3,
40,39,41,46,34,3,3,3,3
41,40,42,,,3,3,,
42,41,,48,36,3,,3,3
43,,44,,,,3,,
44,43,45,,38,3,3,,3
45,44,,,39,3,,,3
46,,,,40,,,,3
47,,48,,,,3,,
48,47,,,42,3,,,3
