index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,3,8,,3,3,3,
3,2,4,,,3,3,,
4,3,5,,,3,3,,
5,4,,11,,3,,3,
6,,,12,,,,3,
7,,,13,1,,,3,3
8,,9,,2,,3,,3
9,8,10,,,3,3,,
10,9,,,,3,,,
11,,12,,5,,3,,3
12,11,,,6,3,,,3
13,,14,,7,,3,,3
14,13,15,20,,3,3,3,
15,14,,,,3,,,
16,,17,22,,,3,3,
17,16,,23,,3,,3,
18,,,24,,,,3,
19,,,25,,,,3,
20,,21,,14,,3,,3
21,20,,27,,3,,3,
22,,,,16,,,,3
23,,,29,17,,,3,3
24,,,30,18,,,3,3
25,,26,,19,,3,,3
26,25,,32,,3,,3,
27,,28,,21,,3,,3
28,27,29,,,3,3,,
29,28,30,,23,3,3,,3
30,29,,36,24,3,,3,3
31,,,37,,,,3,
32,,,38,26,,,3,3
33,,34,,,,3,,
34,33,35,40,,3,3,3,
35,34,,,,3,,,
36,,,42,30,,,3,3
37,,38,43,31,,3,3,3
38,37,,,32,3,,,3
39,,40,45,,,3,3,
40,39,,,34,3,,,3
41,,42,47,,,3,3,
42,41,,,36,3,,,3
43,,44,,37,,3,,3
44,43,45,,,3,3,,
45,44,46,,39,3,3,,3
46,45,47,,,3,3,,
47,46,48,,41,3,3,,3
48,47,,,,3,,,
