index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,3,8,,,3,3,
3,2,,9,,3,,3,
4,,5,10,,,3,3,
5,4,6,,,3,3,,
6,5,,,,3,,,
7,,8,,1,,3,,3
8,7,,14,2,3,,3,3
9,,10,15,3,,3,3,3
10,9,11,,4,3,3,,3
11,10,12,,,3,3,,
12,11,,18,,3,,3,
13,,14,,,,3,,
14,13,,20,8,3,,3,3
15,,,21,9,,,3,3
16,,,22,,,,3,
17,,,23,,,,3,
18,,,24,12,,,3,3
19,,20,,,,3,,
20,19,21,26,14,3,3,3,3
21,20,,27,15,3,,3,3
22,,23,28,16,,3,3,3
23,22,24,,17,3,3,,3
24,23,,,18,3,,,3
25,,26,,,,3,,
26,25,27,32,20,3,3,3,3
27,26,,33,21,3,,3,3
28,,29,,22,,3,,3
29,28,,35,,3,,3,
30,,,36,,,,3,
31,,32,37,,,3,3,
32,31,,38,26,3,,3,3
33,,,39,27,,,3,3
34,,,40,,,,4,
35,,36,41,29,,3,3,3
36,35,,42,30,3,,3,3
37,,38,43,31,,3,3,3
38,37,,,32,3,,,3
39,,40,45,33,,3,3,3
40,39,41,46,34,3,3,3,4
41,40,,47,35,3,,3,3
42,,,48,36,,,3,3
43,,,,37,,,,3
44,,45,,,,3,,
45,44,46,,39,3,3,,3
46,45,,,40,3,,,3
47,,,,41,,,,3
48,,,,42,,,,3
